Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
10,Thu,31/10/2019,21:00 (20:00),Milan,1.4,1â€“0,0.5,SPAL,"46,475",Stadio Giuseppe Meazza,Marco Piccinini
11,Sat,02/11/2019,15:00 (14:00),Roma,2.2,2â€“1,1.7,Napoli,"34,502",Stadio Olimpico,Gianluca Rocchi
11,Sat,02/11/2019,18:00 (17:00),Bologna,0.6,1â€“2,3,Inter,"28,498",Stadio Renato Dall'Ara,Federico La Penna
11,Sat,02/11/2019,20:45 (19:45),Torino,0.4,0â€“1,2.1,Juventus,"26,664",Stadio Olimpico di Torino,Daniele Doveri
11,Sun,03/11/2019,12:30 (11:30),Atalanta,0.9,0â€“2,1.1,Cagliari,"18,617",Stadio Atleti Azzurri d'Italia,Rosario Abisso
11,Sun,03/11/2019,15:00 (14:00),Hellas Verona,1.2,2â€“1,1.4,Brescia,"16,525",Stadio Marc'Antonio Bentegodi,Maurizio Mariani
11,Sun,03/11/2019,15:00 (14:00),Genoa,1.2,1â€“3,1.5,Udinese,"20,030",Stadio Comunale Luigi Ferraris,Fabrizio Pasqua
11,Sun,03/11/2019,15:00 (14:00),Lecce,0.6,2â€“2,1.8,Sassuolo,"22,087",Stadio Comunale Via Del Mare,Riccardo Ros
11,Sun,03/11/2019,18:00 (17:00),Fiorentina,1.6,1â€“1,0.6,Parma,"32,479",Stadio Artemio Franchi,Luca Pairetto
11,Sun,03/11/2019,20:45 (19:45),Milan,0.9,1â€“2,1.2,Lazio,"41,000",Stadio Giuseppe Meazza,Giampaolo Calvarese
11,Mon,04/11/2019,20:45 (19:45),SPAL,0.7,0â€“1,0.9,Sampdoria,"11,617",Stadio Paolo Mazza,Daniele Chiffi
12,Fri,08/11/2019,20:45 (19:45),Sassuolo,2.3,3â€“1,0.9,Bologna,"13,184",Stadio Città del Tricolore,Marco Piccinini
12,Sat,09/11/2019,15:00 (14:00),Brescia,0.7,0â€“4,3.4,Torino,"13,500",Stadio Mario Rigamonti,Marco Guida
12,Sat,09/11/2019,18:00 (17:00),Inter,2.9,2â€“1,1.4,Hellas Verona,"66,202",Stadio Giuseppe Meazza,Paolo Valeri
12,Sat,09/11/2019,20:45 (19:45),Napoli,1.2,0â€“0,1,Genoa,"22,947",Stadio San Paolo,Giampaolo Calvarese
12,Sun,10/11/2019,12:30 (11:30),Cagliari,2.7,5â€“2,1,Fiorentina,"16,316",Sardegna Arena,Federico La Penna
12,Sun,10/11/2019,15:00 (14:00),Udinese,1.3,0â€“0,2.1,SPAL,"21,621",Dacia Arena,Davide Massa
12,Sun,10/11/2019,15:00 (14:00),Sampdoria,0.5,0â€“0,0.7,Atalanta,"19,799",Stadio Comunale Luigi Ferraris,Massimiliano Irrati
12,Sun,10/11/2019,15:00 (14:00),Lazio,3.5,4â€“2,2.4,Lecce,"35,000",Stadio Olimpico,Gianluca Manganiello
