Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
10,Sat,07/11/2020,21:00 (20:00),Paris S-G,0.9,3â€“0,1.1,Rennes,,Parc des Princes,Benoît Bastien
10,Sun,08/11/2020,13:00 (12:00),Brest,1.2,3â€“2,2.4,Lille,,Stade Francis-Le Blé,Florent Batta
10,Sun,08/11/2020,15:00 (14:00),Metz,2.1,1â€“1,2.3,Dijon,,Stade Saint-Symphorien,Willy Delajod
10,Sun,08/11/2020,15:00 (14:00),Lorient,1.8,0â€“2,1.7,Nantes,,Stade Yves Allainmat - Le Moustoir,Stéphanie Frappart
10,Sun,08/11/2020,15:00 (14:00),Nîmes,1.5,1â€“5,3.2,Angers,,Stade des Costières,Franck Schneider
10,Sun,08/11/2020,15:00 (14:00),Lens,1.5,4â€“4,1.4,Reims,,Stade Bollaert-Delelis, Thomas Léonard
10,Sun,08/11/2020,17:00 (16:00),Nice,0.7,1â€“2,1.5,Monaco,,Stade de Nice,Karim Abed
10,Sun,08/11/2020,21:00 (20:00),Lyon,2.5,2â€“1,1.7,Saint-Étienne,,Groupama Stadium, François Letexier
11,Fri,20/11/2020,19:00 (18:00),Rennes,1.9,0â€“1,0.7,Bordeaux,,Roazhon Park,Karim Abed
11,Fri,20/11/2020,21:00 (20:00),Monaco,3.2,3â€“2,1.7,Paris S-G,,Stade Louis II.,Clément Turpin
11,Sat,21/11/2020,17:00 (16:00),Brest,0.9,4â€“1,1.3,Saint-Étienne,,Stade Francis-Le Blé, Thomas Léonard
11,Sun,22/11/2020,13:00 (12:00),Nantes,1.2,1â€“1,1.6,Metz,,Stade de la Beaujoire - Louis Fonteneau, Benoît Millot
11,Sun,22/11/2020,15:00 (14:00),Reims,1,0â€“1,1.1,Nîmes,,Stade Auguste-Delaune II,Jeremy Stinat
11,Sun,22/11/2020,15:00 (14:00),Dijon,0.6,0â€“1,1.5,Lens,, Stade Gaston Gérard,Eric Wattellier
11,Sun,22/11/2020,15:00 (14:00),Montpellier,1.7,4â€“3,3.4,Strasbourg,,Stade de la Mosson,Jérôme Brisard
11,Sun,22/11/2020,17:00 (16:00),Angers,0.9,0â€“1,1,Lyon,,Stade Raymond Kopa,Amaury Delerue
11,Sun,22/11/2020,21:00 (20:00),Lille,4.2,4â€“0,0.7,Lorient,,Stade Pierre-Mauroy,Willy Delajod
8,Wed,25/11/2020,19:00 (18:00),Lens,0.7,1â€“1,2,Nantes,,Stade Bollaert-Delelis,Florent Batta
12,Fri,27/11/2020,21:00 (20:00),Strasbourg,0.6,1â€“1,1.9,Rennes,,Stade de la Meinau, Benoît Millot
12,Sat,28/11/2020,17:00 (16:00),Marseille,3,3â€“1,0.4,Nantes,,Orange Vélodrome,Mikael Lesage
12,Sat,28/11/2020,21:00 (20:00),Paris S-G,2.6,2â€“2,1.6,Bordeaux,,Parc des Princes,Jérémie Pignard
12,Sun,29/11/2020,13:00 (12:00),Lyon,2.6,3â€“0,0.4,Reims,,Groupama Stadium, Jérôme Miguelgorry
12,Sun,29/11/2020,15:00 (14:00),Lens,1.4,1â€“3,2.5,Angers,,Stade Bollaert-Delelis, Aurélien Petit
12,Sun,29/11/2020,15:00 (14:00),Monaco,3.1,3â€“0,0.2,Nîmes,,Stade Louis II.,Antony Gautier
12,Sun,29/11/2020,15:00 (14:00),Metz,0.9,0â€“2,1.3,Brest,,Stade Saint-Symphorien,Hakim Ben El Hadj Salem
12,Sun,29/11/2020,15:00 (14:00),Lorient,0.3,0â€“1,1.6,Montpellier,,Stade Yves Allainmat - Le Moustoir,Bastien Dechepy
12,Sun,29/11/2020,17:00 (16:00),Nice,3.5,1â€“3,1,Dijon,,Stade de Nice, François Letexier
12,Sun,29/11/2020,21:00 (20:00),Saint-Étienne,0.9,1â€“1,0.5,Lille,,Stade Geoffroy-Guichard,Benoît Bastien
13,Fri,04/12/2020,21:00 (20:00),Nîmes,0.5,0â€“2,2.3,Marseille,,Stade des Costières,Willy Delajod
13,Sat,05/12/2020,17:00 (16:00),Rennes,0.7,0â€“2,0.7,Lens,,Roazhon Park,Johan Hamel
13,Sat,05/12/2020,21:00 (20:00),Montpellier,1.6,1â€“3,1.9,Paris S-G,,Stade de la Mosson,Mikael Lesage
13,Sun,06/12/2020,13:00 (12:00),Lille,1.1,2â€“1,0.6,Monaco,,Stade Pierre-Mauroy,Jérôme Brisard
13,Sun,06/12/2020,15:00 (14:00),Angers,1.9,2â€“0,0.6,Lorient,,Stade Raymond Kopa, Thomas Léonard
13,Sun,06/12/2020,15:00 (14:00),Bordeaux,1.6,1â€“0,0.3,Brest,,Stade Matmut-Atlantique,Franck Schneider
13,Sun,06/12/2020,15:00 (14:00),Dijon,0.4,0â€“0,0.7,Saint-Étienne,, Stade Gaston Gérard,Ruddy Buquet
13,Sun,06/12/2020,15:00 (14:00),Nantes,0.5,0â€“4,3.1,Strasbourg,,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin
13,Sun,06/12/2020,17:00 (16:00),Reims,0.5,0â€“0,0.8,Nice,,Stade Auguste-Delaune II,Stéphanie Frappart
13,Sun,06/12/2020,21:00 (20:00),Metz,1.5,1â€“3,2,Lyon,,Stade Saint-Symphorien,Karim Abed
14,Fri,11/12/2020,21:00 (20:00),Saint-Étienne,1.4,0â€“0,0.6,Angers,,Stade Geoffroy-Guichard, Jérôme Miguelgorry
14,Sat,12/12/2020,17:00 (16:00),Marseille,0.9,2â€“1,1.7,Monaco,,Orange Vélodrome, Benoît Millot
14,Sat,12/12/2020,21:00 (20:00),Lens,1.8,2â€“3,1.5,Montpellier,,Stade Bollaert-Delelis,Jeremy Stinat
14,Sun,13/12/2020,13:00 (12:00),Nice,1.4,0â€“1,1.4,Rennes,,Stade de Nice,Amaury Delerue
14,Sun,13/12/2020,15:00 (14:00),Lorient,2.9,3â€“0,0.4,Nîmes,,Stade Yves Allainmat - Le Moustoir,Karim Abed
14,Sun,13/12/2020,15:00 (14:00),Brest,2.5,2â€“1,0.7,Reims,,Stade Francis-Le Blé, Aurélien Petit
14,Sun,13/12/2020,15:00 (14:00),Strasbourg,1.3,2â€“2,1.7,Metz,,Stade de la Meinau, François Letexier
14,Sun,13/12/2020,15:00 (14:00),Nantes,2.5,1â€“1,1.2,Dijon,,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier
