Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
14,Fri,22/11/2019,20:45 (19:45),Paris S-G,2.4,2â€“0,0.8,Lille,"47,476",Parc des Princes,Willy Delajod
14,Sat,23/11/2019,17:30 (16:30),Lyon,1.3,2â€“1,1.4,Nice,"49,401",Groupama Stadium,Amaury Delerue
14,Sat,23/11/2019,20:00 (19:00),Metz,1,1â€“1,1.5,Reims,"14,445",Stade Saint-Symphorien,Antony Gautier
14,Sat,23/11/2019,20:00 (19:00),Angers,1.8,1â€“0,0.9,Nîmes,"8,714",Stade Raymond Kopa, Thomas Léonard
14,Sat,23/11/2019,20:00 (19:00),Amiens,0.3,0â€“4,1.9,Strasbourg,"10,358",Stade de la Licorne,Alain Bieri
14,Sat,23/11/2019,20:00 (19:00),Brest,1.4,1â€“1,0.9,Nantes,"14,232",Stade Francis-Le Blé,Ruddy Buquet
14,Sat,23/11/2019,20:00 (19:00),Dijon,1,2â€“1,1.2,Rennes,"12,084",Stade Gaston Gérard, Jérôme Brisard
14,Sun,24/11/2019,15:00 (14:00),Bordeaux,2.2,2â€“1,0.9,Monaco,"34,554",Stade Matmut-Atlantique, Benoît Millot
14,Sun,24/11/2019,17:00 (16:00),Saint-Étienne,0.9,0â€“0,1,Montpellier,"24,336",Stade Geoffroy-Guichard,Franck Schneider
14,Sun,24/11/2019,21:00 (20:00),Toulouse,0.7,0â€“2,2.1,Marseille,"23,002",Stadium Municipal,François Letexier
15,Fri,29/11/2019,20:45 (19:45),Marseille,4,2â€“1,0.8,Brest,"50,014",Orange Vélodrome,Johan Hamel
15,Sat,30/11/2019,17:30 (16:30),Strasbourg,0.5,1â€“2,0.7,Lyon,"25,455",Stade de la Meinau,Mikael Lesage
15,Sat,30/11/2019,20:00 (19:00),Nice,1.5,3â€“1,0.6,Angers,"15,814",Stade de Nice,Antony Gautier
15,Sat,30/11/2019,20:00 (19:00),Montpellier,1.1,4â€“2,0.9,Amiens,"11,744",Stade de la Mosson, Jérémie Pignard
15,Sat,30/11/2019,20:00 (19:00),Lille,2,1â€“0,0.9,Dijon,"40,074",Stade Pierre-Mauroy,Jeremy Stinat
15,Sat,30/11/2019,20:00 (19:00),Nîmes,0.9,1â€“1,0.7,Metz,"12,180",Stade des Costières,Hakim Ben El Hadj Salem
