Week,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
37,Thu,16/07/2020,21:00 (20:00),Real Madrid,1.7,2â€“1,0.7,Villarreal,,Estadio Alfredo Di StÃ©fano,Alejandro Hernández
37,Thu,16/07/2020,21:00 (20:00),Betis,1.7,1â€“2,1.5,Alavés,,Estadio Benito Villamarín,David Medié
38,Sun,19/07/2020,17:00 (16:00),Alavés,0.4,0â€“5,3,Barcelona,,Estadio de Mendizorroza,Juan Martínez
38,Sun,19/07/2020,18:30 (17:30),Valladolid,1.7,2â€“0,0.6,Betis,,Estadio Municipal José Zorrilla,Santiago Jaime
38,Sun,19/07/2020,18:30 (17:30),Villarreal,2.1,4â€“0,0.6,Eibar,,Estadio de la Cerámica,Alberola Rojas
38,Sun,19/07/2020,21:00 (20:00),Sevilla,0.7,1â€“0,0.3,Valencia,,Estadio Ramón Sánchez Pizjuán,José González
38,Sun,19/07/2020,21:00 (20:00),Atlético Madrid,1.1,1â€“1,0.3,Real Sociedad,,Estadio Wanda Metropolitano, Pablo González
38,Sun,19/07/2020,21:00 (20:00),Levante,2.1,1â€“0,2,Getafe,,Estadio Ciudad de Valencia,Ricardo de Burgos
38,Sun,19/07/2020,21:00 (20:00),Granada,2.2,4â€“0,0.6,Athletic Club,,Estadio Nuevo Los Cármenes,Carlos del Cerro
38,Sun,19/07/2020,21:00 (20:00),Leganés,1.4,2â€“2,1.2,Real Madrid,,Estadio Municipal de Butarque,Guillermo Cuadra
38,Sun,19/07/2020,21:00 (20:00),Osasuna,0.8,2â€“2,0.6,Mallorca,,Estadio El Sadar,Antonio Matéu Lahoz
38,Sun,19/07/2020,21:00 (20:00),Espanyol,0.4,0â€“0,0.5,Celta Vigo,,RCDE Stadium,Adrián Cordero
